NUMBER,MAG_AUTO,X_IMAGE,Y_IMAGE,CLASS_STAR,FLUX_RADIUS,RA_deg,Dec_deg,GAIA_RA,GAIA_Dec,GAIA_Rmag,Separation_arcsec
17349,18.150,8399.982,642.586,0.910,2.189,9.567,-33.659,9.567,-33.659,17.656,0.150
17584,17.355,6477.340,555.735,0.981,2.171,9.696,-33.664,9.696,-33.664,15.994,0.125
17614,20.681,8295.355,705.055,0.912,2.244,9.574,-33.656,9.574,-33.656,20.241,0.104
17625,18.246,12905.866,645.003,0.871,2.213,9.266,-33.659,9.267,-33.659,16.296,0.527
17677,19.751,6890.508,674.673,0.949,2.101,9.668,-33.657,9.668,-33.657,18.424,0.229
17874,20.549,8852.783,720.421,0.914,2.130,9.537,-33.655,9.537,-33.655,18.551,0.103
17924,18.969,6798.023,697.441,0.898,2.116,9.674,-33.656,9.674,-33.656,17.922,0.211
18142,21.203,7784.940,764.998,0.975,2.043,9.608,-33.652,9.608,-33.652,20.350,0.255
18344,17.999,6666.905,672.914,0.845,2.230,9.683,-33.657,9.683,-33.657,17.587,0.187
18439,19.364,8071.006,751.203,0.872,2.237,9.589,-33.653,9.589,-33.653,17.890,0.269
18467,20.081,2855.286,778.639,0.947,2.105,9.937,-33.651,9.937,-33.651,18.051,0.451
18526,20.447,12497.092,781.739,0.915,2.160,9.294,-33.651,9.294,-33.651,19.626,0.609
18612,17.894,14912.008,734.195,0.897,2.281,9.133,-33.654,9.133,-33.654,16.676,0.439
